"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Achieving inclusive healthcare through integrating education and research with AI and personalized curricula","https://scispace.com/paper/achieving-inclusive-healthcare-through-integrating-education-k1db1vkct44t","2025","Journal Article","Communications medicine","Amir Bahmani
Kexin Cha
Arash Alavi
Amit Rai Dixit
Antony Ross
Ryan Park
Francesca Goncalves
Shirley Ma
Paul Saxman
Ramesh V. Nair
Ramin Akhavan-Sarraf
Xin Zhou
Meng Wang
Kévin Contrepois
Jennifer Li-Pook-Than
Emma Monte
David Jose Florez Rodriguez
Jaslene Lai
M. Ramesh Babu
Abtin Tondar
Sophia Miryam Schüssler‐Fiorenza Rose
Ilya Akbari
Xinyue Zhang
Kritika Yegnashankaran
Joseph Yracheta
Kali Dale
Alison Derbenwick Miller
Scott Edmiston
Eva M McGhee
Camille Nebeker
Joseph C. Wu
Anshul Kundaje
M Snyder","10.1038/s43856-025-01034-y","https://scispace.compdf/achieving-inclusive-healthcare-through-integrating-education-k1db1vkct44t.pdf","- **Relevance Score:** 85/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses AI Tutors and data‑visualization tools to personalize learning pathways within a cloud‑based platform that merges education and precision‑medicine research, explicitly targeting economically disadvantaged and historically marginalized communities.","Precision medicine promises significant health benefits but faces challenges such as complex data management and analytics, interdisciplinary collaboration, and education of researchers, healthcare professionals, and participants. Addressing these needs requires the integration of computational experts, engineers, designers, and healthcare professionals to develop user-friendly systems and shared terminologies. The widespread adoption of large language models (LLMs) such as Generative Pretrained Transformer (GPT) and Claude highlights the importance of making complex data accessible to non-specialists. We evaluated the Stanford Data Ocean (SDO) precision medicine training program's learning outcomes, AI Tutor performance, and learner satisfaction by assessing self-rated competency on key learning objectives through pre- and post-learning surveys, along with formative and summative assessment completion rates. We also analyzed AI Tutor accuracy and learners' self-reported satisfaction, and post-program academic and career impacts. Additionally, we demonstrated the capabilities of the AI Data Visualization tool. SDO demonstrates the ability to improve learning outcomes for learners from broad educational and socioeconomic backgrounds with the support of the AI Tutor. The AI Data Visualization tool enables learners to interpret multi-omics and wearable data and replicate research findings. SDO strives to mitigate challenges in precision medicine through a scalable, cloud-based platform that supports data management for various data types, advanced research, and personalized learning. SDO provides AI Tutors and AI-powered data visualization tools to enhance educational and research outcomes and make data analysis accessible to users from broad educational backgrounds. By extending engagement and cutting-edge research capabilities globally, SDO particularly benefits economically disadvantaged and historically marginalized communities, fostering interdisciplinary biomedical research and bridging the gap between education and practical application in the biomedical field. "
"Achieving Inclusive Healthcare through Integrating Education and Research with AI and Personalized Curricula","https://scispace.com/paper/achieving-inclusive-healthcare-through-integrating-education-1z1us2q7aqtl","2024","Journal Article","medRxiv","Amir Bahmani
Kexin Cha
Arash Alavi
Amit Dixit
Antony Ross
Ryan Park
Francesca Goncalves
Shirley Ma
Paul Saxman
Ramesh Nair
Ramin Akhavan-Sarraf
Xin Zhou
Meng Wang
Kévin Contrepois
Jennifer Li
Pook Than
Emma Monte
David Jose Florez Rodriguez
Jaslene Lai
Mohan Babu
Abtin Tondar
Sophia Miryam
Schüssler-Fiorenza Rose
Ilya Akbari
Xinyue Zhang
Kritika Yegnashankaran
Joseph Yracheta
Kali Dale
Alison Derbenwick Miller
Eva M McGhee
Camille Nebeker
Joseph C. Wu
Anshul Kundaje
Michael Snyder","10.1101/2024.07.31.24311182","","- **Relevance Score:** 85/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses AI tutors and cloud platform to deliver adaptive curricula linked to research data, explicitly targeting underserved communities and bridging education with precision‑medicine research.","Precision medicine promises significant health benefits but faces challenges such as the need for complex data management and analytics, interdisciplinary collaboration, and education of researchers, healthcare professionals, and participants. Addressing these needs requires the integration of computational experts, engineers, designers, and healthcare professionals to develop user-friendly systems and shared terminologies. The widespread adoption of large language models (LLMs) like GPT-4 and Claude 3 highlights the importance of making complex data accessible to non-specialists. The Stanford Data Ocean (SDO) strives to mitigate these challenges through a scalable, cloud-based platform that supports data management for various data types, advanced research, and personalized learning in precision medicine. SDO provides AI tutors and AI-powered data visualization tools to enhance educational and research outcomes and make data analysis accessible for users from diverse educational backgrounds. By extending engagement and cutting-edge research capabilities globally, SDO particularly benefits economically disadvantaged and historically marginalized communities, fostering interdisciplinary biomedical research and bridging the gap between education and practical application in the biomedical field."
"Advancing SDG-4 through AI and STEAM-Integrated Curriculum for Inclusive Medical Education: A Scoping Review Proposing the INSPIRE Model","https://scispace.com/paper/advancing-sdg-4-through-ai-and-steam-integrated-curriculum-d1gv7yuxpuye","2025","Journal Article","","Raja Bahar Khan Soomro
Abdul Basit Soomro
Afaque Manzoor Soomro","10.21203/rs.3.rs-7080209/v1","","- **Relevance Score:** 65/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses AI-powered tutoring and real-time analytics to create adaptive, modular curricula (INSPIRE) that target inclusive medical education, emphasizing ethics and scalability, but lacks concrete research‑education integration and empirical validation.","<title>Abstract</title> The fourth United Nations Sustainable Development Goal (SDG-4) seeks to ensure inclusive and equitable quality education and pursue lifelong learning opportunities for everyone. In medical education, the incorporation of Artificial Intelligence (AI) and Science, Technology, Engineering, Arts, and Mathematics (STEAM) has transformational potential in realising these objectives through creating inclusive, innovative, and adaptive learning spaces. This scoping review considers the use of AI and STEAM-based curriculum design and assessment to further SDG-4 within medical education for the purposes of enhancing inclusivity, scalability, and ethical practice. Adopting the PRISMA-ScR guidelines, researchers systematically charted peer-reviewed literature obtained from PubMed, Scopus, and Web of Science. 50 studies were identified, with prominent themes being: AI-oriented personalised learning, STEAM-based interdisciplinary education, and issues such as ethical dilemmas, digital divides, and curriculum congestion. The review uncovers a significant absence of standard frameworks to implement AI and suggests the INSPIRE Model (Inclusive, Nimble, Scalable, Personalised, Interprofessional, Reflective, and Ethical) as a new framework to fill these gaps. The INSPIRE Model uses AI-powered technologies, including intelligent tutoring systems and real-time analytics, in conjunction with STEAM principles to produce adaptive, modular curricula that address the needs of various types of learners, including those in low-resource environments. It advocates for ethical use of AI, Interprofessional collaboration, and AI literacy in order to equip medical students for an AI-enhanced healthcare future. Evidence shows that integration of AI and STEAM can promote access to quality education, narrow gaps, and drive critical thinking, in line with SDG-4 goals. Yet, access impediments such as scarce infrastructure and faculty development call for specific interventions like international partnerships and scalable digital tools. The INSPIRE Model provides a blueprint for stakeholders to integrate inclusive, sustainable systems of medical education. Subsequent studies should aim to pilot-test the model and assess its long-term effect on educational equity as well as on health outcomes, while being guided by SDG-4's vision of lifelong learning for all. "
"Transformación de la educación universitaria en salud a través de la inteligencia artificial","https://scispace.com/paper/transformacion-de-la-educacion-universitaria-en-salud-a-50e9hs6grcnp","2024","Journal Article","Deleted Journal","Ángel Esteban Torres-Zapata
Teresa del Jesús Brito-Cruz
Juan Eduardo Moguel Ceballos
Zarza-Garcia Addy Leticia","10.62452/6chfdw81","","- **Relevance Score:** 40/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Discusses AI's potential to personalize learning and improve healthcare, mentions interdisciplinary collaboration and ethical issues, but lacks concrete curriculum, research integration, or equity-focused implementation.","Artificial Intelligence is presented as a tool to improve medical care and reduce the workload of health professionals. Although it offers faster diagnoses and personalized treatments, its rapid evolution creates ethical and educational challenges in medical training. The work highlights the importance of structured education and interdisciplinary collaboration to successfully integrate AI into the training of healthcare professionals, recognizing this transition as a crucial opportunity to improve higher education in this ever-changing field. The project focuses on a detailed review of the literature on changes in university health education through information and communication technologies. It uses key ideas from relevant authors and recent studies for comprehensive analysis. AI stands out as a transformative tool in healthcare, promising improvements in clinical outcomes and efficiency, alleviating workload. Its integration into medical education offers opportunities for personalization of learning, practical skills, and access to quality educational content, although it poses ethical and professional challenges, such as information accuracy and data privacy. Addressing these challenges is crucial to ensure ethical and responsible use of AI in medical training, maximizing its benefits and minimizing the risks. "
"Artificial Intelligence Integration in Higher Education","https://scispace.com/paper/artificial-intelligence-integration-in-higher-education-268fypf02xas","2024","Journal Article","","Bhawna Ojha
Arun Agrawal
Akansha Arya","10.1201/9781003469315-1","","- **Relevance Score:** 33/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses AI to propose inclusive, adaptive higher‑education curricula; discusses bias mitigation and universal design, but focuses on general education, not healthcare, and lacks concrete research‑education integration or empirical validation.","The present chapter explores the strategies for integrating artificial intelligence (AI) into higher education to promote inclusive and adaptive learning. It recognizes AI's potential to revolutionize education through personalized instruction and assessment. However, the chapter stresses the imperative of ensuring equity, combating bias, and prioritizing accessibility when leveraging AI. Challenges like algorithmic exclusion, privacy risks, and ethical dilemmas are analyzed. Solutions proposed include representative AI development teams, universal design frameworks, customized assessments, and human-centered policies. Research directions are highlighted, including learning analytics, platform improvements for marginalized groups, and proactive accessibility studies. Guiding AI's trajectory toward empowerment rather than unintended inequity is emphasized. The chapter advocates thoughtful, ethical AI integration that unleashes the technology's benefits while upholding justice. It argues that centering inclusion and human values, not just efficiency, is key to realizing AI's transformative potential in higher education. "
"Transforming Medical and Dental Curriculum in the era of Artificial Intelligence (AI)","https://scispace.com/paper/transforming-medical-and-dental-curriculum-in-the-era-of-ac7pk3lqfmw3","2024","Journal Article","Journal of Gandhara medical and dental sciences","Brekhna Jamil","10.37762/jgmds.11-4.625","","- **Relevance Score:** 30/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses AI‑driven adaptive tutors and dynamic curricula to promote equitable access, but lacks concrete research integration and empirical validation, limiting its fit to the combined relational criterion.","The dawn of artificial intelligence (AI) signifies a pivotal shift in medical and dental education. Integrating AI into the curriculum modernizes learning and equips future healthcare professionals with crucial tools for the 21st century. The COVID-19 pandemic revealed the limitations of conventional educational models, necessitating rapid adaptation to remote and online learning environments. This disruption expedited the transition to digital platforms, laying the foundation for further integration of technology, including AI, into medical education. What began as an emergency response has now become a permanent feature of the educational landscape, evolving from static textbooks to dynamic digital platforms that offer greater accessibility, inclusivity, and personalization of learning experiences.1 In the AI era, it is insufficient to merely digitize the curriculum; a comprehensive transformation is essential. The digital curriculum opens new avenues for interactive learning environments, simulation-based practices, and adaptive learning algorithms that respond to the individual needs of students. AI-driven tools such as virtual patient simulations, diagnostic decision-making platforms, and predictive analytics have the potential to revolutionize how medical students learn, practice, and apply their knowledge in clinical settings.2 These innovations allow for an enhanced learning experience where students can interact with realistic patient cases and make informed decisions, fostering a deeper understanding of clinical practice.
 
One of the most promising applications of AI in medical education is its role as an educational partner. AI-powered platforms can function as personalized tutors, providing real-time feedback, adjusting learning modules based on student performance, and even predicting areas where additional support may be required.3 Adaptive learning systems can analyze the learner’s pace and comprehension, offering tailored resources to bridge knowledge gaps. This personalized approach to education ensures that no student is left behind, addressing one of the longstanding challenges of traditional, one-size-fits-all curricula. Additionally, AI can enhance clinical reasoning through simulation and data-driven case scenarios. By analyzing patterns in patient data, AI algorithms can help medical students gain deeper insights into complex clinical decision-making processes. This data-driven approach can significantly improve learners’ ability to diagnose and plan treatments, thereby improving clinical outcomes. While AI and digital tools offer substantial benefits, the role of educators remains essential in this new educational paradigm. Rather than replacing teachers, AI will augment their roles, allowing them to focus on mentorship, critical thinking, and the ethical dimensions of healthcare.4 Educators will need to reimagine their roles, becoming facilitators of learning who guide students in interpreting and applying AI-generated data in clinical settings. As AI takes on administrative tasks such as grading, educators can dedicate more time to meaningful interactions with students.5 However, this shift toward AI-driven curricula also requires significant investment in faculty development. Educators must be trained in the use of AI tools and possess a thorough understanding of their applications to ensure that AI is used responsibly and effectively in shaping future healthcare professionals.
 
As AI becomes more integrated into medical education, addressing the ethical challenges associated with this technology becomes crucial. While AI-driven tools hold great promise, they must be designed and deployed with an acute awareness of biases, data privacy concerns, and the risk of over-reliance on algorithms in clinical decision-making.6 The digital curriculum must provide students with technical skills and a strong ethical foundation for AI use in healthcare. Students must be trained to critically evaluate AI outputs, understand their limitations, and ensure that human judgment remains central to patient care. Transforming medical curricula in the AI era is not without challenges. Digital divides, access to technology, and the initial cost of AI-driven platforms may pose barriers to widespread adoption. Institutions must ensure equitable access to resources for all students, regardless of their geographic or socioeconomic backgrounds. Moreover, regulatory bodies such as the Higher Education Commission (HEC) and the Pakistan Medical and Dental Council (PMDC) must revise standards to accommodate these technological advancements. In conclusion, the transformation of medical and dental curricula into a digital, AI-enhanced model represents not only a modernization of education but also a fundamental shift in preparing future healthcare professionals. By embracing AI as an educational partner, medical institutions can create personalized, data-driven learning environments that equip students with the skills and knowledge needed to thrive in an increasingly complex healthcare landscape. The integration of AI into the curriculum offers an opportunity to empower the next generation of doctors, enabling them to navigate future challenges with confidence and competence. Now is the time for this transformation, and it is a journey that we must embark on collectively to ensure the future of education, healthcare, and patient care."
"Approaches to AI Integration in Education and Healthcare","https://scispace.com/paper/approaches-to-ai-integration-in-education-and-healthcare-b6ryyvh5a7tu","2025","Journal Article","Advances in computational intelligence and robotics book series","S. Ida Evangeline","10.4018/979-8-3373-5072-1.ch011","","- **Relevance Score:** 25/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Highlights equity and ethical safeguards for AI in health and education, but lacks concrete research‑education programs, specific personalization mechanisms, or adaptive curriculum designs linking AI to inclusive healthcare outcomes.","This chapter explores the integration of artificial intelligence (AI) into education and healthcare through a multidisciplinary lens, emphasizing both the transformative potential and the complex ethical, infrastructural, and contextual challenges of implementation. While AI promises personalized learning, advanced diagnostics, and administrative efficiency, real-world applications often reveal limitations—including algorithmic bias, infrastructural inequities, and stakeholder resistance. The chapter argues that successful AI deployment demands collaborative engagement among technologists, educators, clinicians, ethicists, and policymakers. Drawing from foundational literature and global case studies, it highlights the need for ethical safeguards, inclusive design, and responsive governance. Ultimately, the chapter advocates for an approach to AI integration that is both innovative and grounded in social equity, aiming to guide future applications toward sustainable, just, and context-sensitive outcomes in human-centered systems. "
"Incorporating Artificial Intelligence in Health Professions Education","https://scispace.com/paper/incorporating-artificial-intelligence-in-health-professions-mhlmm0cynunm","2024","Journal Article","","Mila Nu Nu Htay","10.71354/ijthpe.02.02.37","","- **Relevance Score:** 20/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Discusses AI potentials like personalized learning and virtual simulations, but lacks concrete implementations, research integration, or explicit focus on equity and inclusive outcomes.","The integration of Artificial Intelligence (AI) in healthcare and health professions education is increasingly gaining attention due to its potential benefits. AI technologies have demonstrated potentials in enhancing teaching and learning processes such as personalized learning systems, virtual reality simulations, and automated assessments. However, most of the medical institutions are yet to be incorporated AI to their existing curriculum currently. It might be contributed by the considerable challenges such as limited faculty familiarity with AI technologies, availability of resources, algorithmic bias, ethical concerns, and data privacy issues. This article explores the potential transformative impact AI can have on medical education, focusing on its benefits, challenges, and the strategies required to successfully incorporate it into the curriculum. "
"Transforming Healthcare in the New AI Era through Integrated Personalized Healthcare","https://scispace.com/paper/transforming-healthcare-in-the-new-ai-era-through-integrated-2ws8vqmdxs8x","2024","Journal Article","","N. S. Bisht
Nahal Mavaddat
Nizar Abdel Amir
Ekta Krishna
Mustafa Mudhafar
Karrar Hayder Shakir
Ammar Hameed Shnain","10.1109/icacite60783.2024.10617239","","- **Relevance Score:** 20/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses AI‑focused curricula proposals to bridge AI outputs and medical practice, but lacks concrete education‑research programs, learner‑level personalization, and explicit equity goals.","The rapid evolution of virtual era, along with wearable devices, genomic information, and superior imaging, is driving a tremendous shift inside the healthcare landscape in the direction of customized medication. This shift necessitates the software program of Artificial Intelligence (AI) to broaden focused healing solutions and make clinical predictions. However, the mixing of AI into healthcare will increase essential challenges concerning transparency, felony responsibility, and privacy. To address the ones issues efficaciously, the paper proposes numerous strategies, collectively with the development of translation structures to bridge the gap amongst AI outputs and medical applications, and the inclusion of $A I$-focused curricula in medical schooling. These obligations’ purpose to harness AI’s capability responsibly, ensuring that healthcare transport is every innovative and ethical. The overarching aim is to enable a customised healthcare environment in which AI tools beautify the accuracy and effectiveness of treatments tailor-made to character affected man or woman dreams."
